user_id,category,title,role,start_date,end_date,description
1,社團,資管系學會,活動長,2023-09-01,2024-06-30,負責活動規劃與執行
1,競賽,黑客松競賽,隊長,2024-05-10,2024-05-12,開發 AI 校園助手
2,專案,智慧校園系統,前端開發,2024-10-01,,使用 Django 與 Bootstrap 開發
2,志工,偏鄉教育服務隊,志工,2023-07-01,2023-07-10,協助國小資訊教學
3,研究,資料分析研究計畫,研究助理,2024-03-01,,進行資料視覺化與分析
4,學生組織,緬甸同學會,副會長,2024-09-01,,負責活動協調與新生接待
5,競賽,商業競賽,簡報設計,2023-11-01,2023-11-20,負責提案與簡報製作
6,專案,AI 新聞搜尋引擎,後端開發,2025-02-01,,使用 Spring Boot 開發搜尋系統
7,社團,攝影社,社員,2022-09-01,2023-06-30,參與校園攝影活動
8,活動籌辦,校園創業講座,工作人員,2024-04-15,2024-04-15,協助活動現場執行
